year,direction,date_10,date_25,date_50,DOY_10,DOY_25,DOY_50
2023,rising,05-09,05-12,05-16,129,132,136
2023,rising,09-15,09-16,09-18,258,259,261
2023,falling,11-09,11-02,10-21,313,306,294
2023,falling,08-29,08-26,08-19,241,238,231
2024,rising,02-28,03-02,03-07,59,62,67
2024,rising,05-18,05-22,05-25,139,143,146
2024,rising,07-06,07-15,07-17,188,197,199
2024,falling,11-07,10-24,10-15,312,298,289
2024,falling,06-16,06-15,06-13,168,167,165
2024,falling,04-14,04-13,04-10,105,104,101
