#
# 3-day NDVI summary timeseries for uiefmiscanthus2
#
# Site: uiefmiscanthus2
# Veg Type: AG
# ROI ID Number: 1000
# Lat: 40.0628
# Lon: -88.1984
# Elev: 221
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2025-10-01
# Creation Time: 12:45:18
# Update Date: 2025-10-01
# Update Time: 12:45:21
#
date,year,doy,image_count,midday_rgb_filename,midday_ir_filename,midday_ndvi,gcc_90,ndvi_mean,ndvi_std,ndvi_50,ndvi_75,ndvi_90,max_solar_elev,snow_flag,outlierflag_ndvi_mean,outlierflag_ndvi_50,outlierflag_ndvi_75,outlierflag_ndvi_90
2019-04-02,2019,92,3,uiefmiscanthus2_2019_04_03_161758.jpg,uiefmiscanthus2_IR_2019_04_03_161758.jpg,-0.36680,0.32330,-0.35763,0.01462,-0.36680,-0.35190,-0.34296,22.21620,NA,NA,NA,NA,NA
2019-04-05,2019,95,65,uiefmiscanthus2_2019_04_05_115805.jpg,uiefmiscanthus2_IR_2019_04_05_115805.jpg,-0.49670,0.32196,-0.37823,0.13704,-0.36020,-0.33250,-0.31300,56.48220,NA,NA,NA,NA,NA
2019-04-08,2019,98,137,uiefmiscanthus2_2019_04_08_115835.jpg,uiefmiscanthus2_IR_2019_04_08_115835.jpg,0.00090,0.32354,-0.33988,0.09903,-0.34470,-0.29930,-0.21420,57.60120,NA,NA,NA,NA,NA
2019-04-11,2019,101,69,uiefmiscanthus2_2019_04_11_115805.jpg,uiefmiscanthus2_IR_2019_04_11_115805.jpg,-0.37210,0.32334,-0.35039,0.07013,-0.35910,-0.31200,-0.27602,58.69990,NA,NA,NA,NA,NA
2019-04-14,2019,104,69,uiefmiscanthus2_2019_04_14_115805.jpg,uiefmiscanthus2_IR_2019_04_14_115805.jpg,-0.34610,0.32270,-0.37437,0.10712,-0.37250,-0.33090,-0.27278,59.77520,NA,NA,NA,NA,NA
2019-04-17,2019,107,69,uiefmiscanthus2_2019_04_17_115805.jpg,uiefmiscanthus2_IR_2019_04_17_115805.jpg,-0.45480,0.32450,-0.37825,0.05666,-0.36600,-0.34340,-0.30778,60.82490,NA,NA,NA,NA,NA
2019-04-20,2019,110,106,uiefmiscanthus2_2019_04_20_115806.jpg,uiefmiscanthus2_IR_2019_04_20_115806.jpg,-0.44340,0.32425,-0.32710,0.11775,-0.33345,-0.22087,-0.21535,61.87720,NA,NA,NA,NA,NA
2019-04-23,2019,113,71,uiefmiscanthus2_2019_04_23_115805.jpg,uiefmiscanthus2_IR_2019_04_23_115805.jpg,-0.33490,0.32300,-0.35150,0.05266,-0.35900,-0.34315,-0.30230,62.83950,NA,NA,NA,NA,NA
2019-04-26,2019,116,71,uiefmiscanthus2_2019_04_26_115805.jpg,uiefmiscanthus2_IR_2019_04_26_115805.jpg,-0.44380,0.32250,-0.37183,0.04718,-0.37230,-0.35235,-0.29640,63.80020,NA,NA,NA,NA,NA
2019-04-29,2019,119,71,uiefmiscanthus2_2019_04_29_115805.jpg,uiefmiscanthus2_IR_2019_04_29_115805.jpg,-0.19840,0.32340,-0.34791,0.08859,-0.36700,-0.32450,-0.23960,64.72740,NA,NA,NA,NA,NA
