#
# Transition date estimate for sevilletashrub
#
# Site: sevilletashrub
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2025
# Final Processing Date: 2025-10-02
# Final Processing Time: 00:13:11
# Spline RMSE gcc_mean: 0.00066
# Spline RMSE gcc_50: 0.00067
# Spline RMSE gcc_75: 0.00066
# Spline RMSE gcc_90: 0.00075
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
sevilletashrub,GR,1000,rising,gcc_90,2015-06-23,2015-06-26,2015-07-03,2015-06-22,2015-06-25,2015-07-01,2015-06-25,2015-06-28,2015-07-04,0.35247,0.35611,0.36281,0.35099,0.37404
sevilletashrub,GR,1000,rising,gcc_90,2016-08-06,2016-08-11,2016-08-21,2016-08-05,2016-08-10,2016-08-20,2016-08-07,2016-08-12,2016-08-22,0.35198,0.35496,0.36134,0.35,0.37191
sevilletashrub,GR,1000,rising,gcc_90,2021-07-04,2021-07-10,2021-07-17,2021-07-03,2021-07-09,2021-07-15,2021-07-06,2021-07-11,2021-07-18,0.34641,0.35177,0.36208,0.34307,0.37832
sevilletashrub,GR,1000,rising,gcc_90,2022-06-24,2022-07-22,2022-08-02,2022-06-23,2022-06-28,2022-07-31,2022-06-26,2022-07-23,2022-08-03,0.34645,0.35076,0.35766,0.34466,0.3692
sevilletashrub,GR,1000,rising,gcc_90,2023-08-12,2023-08-16,2023-08-23,2023-08-11,2023-08-15,2023-08-22,2023-08-14,2023-08-18,2023-08-24,0.34981,0.35444,0.36309,0.34765,0.3768
sevilletashrub,GR,1000,rising,gcc_90,2025-06-06,2025-06-12,2025-06-21,2025-06-04,2025-06-11,2025-06-20,2025-06-08,2025-06-14,2025-06-22,0.34781,0.35161,0.35883,0.34554,0.37039
sevilletashrub,GR,1000,rising,gcc_75,2015-06-21,2015-06-24,2015-07-02,2015-05-17,2015-06-23,2015-06-30,2015-06-22,2015-06-26,2015-07-03,0.34952,0.35309,0.36076,0.34783,0.37303
sevilletashrub,GR,1000,rising,gcc_75,2016-08-07,2016-08-12,2016-08-20,2016-08-06,2016-08-11,2016-08-19,2016-08-08,2016-08-13,2016-08-22,0.35154,0.35459,0.36004,0.34952,0.3705
sevilletashrub,GR,1000,rising,gcc_75,2021-07-05,2021-07-10,2021-07-17,2021-07-04,2021-07-09,2021-07-16,2021-07-07,2021-07-12,2021-07-18,0.34585,0.3503,0.36073,0.34249,0.37749
sevilletashrub,GR,1000,rising,gcc_75,2022-07-27,2022-07-30,2022-08-07,2022-07-26,2022-07-29,2022-08-04,2022-07-28,2022-08-01,2022-08-08,0.3513,0.35372,0.35928,0.34974,0.36782
sevilletashrub,GR,1000,rising,gcc_75,2023-08-13,2023-08-17,2023-08-23,2023-08-12,2023-08-16,2023-08-22,2023-08-15,2023-08-18,2023-08-24,0.34931,0.35426,0.36185,0.34723,0.3756
sevilletashrub,GR,1000,rising,gcc_75,2025-06-06,2025-06-12,2025-06-21,2025-06-05,2025-06-11,2025-06-20,2025-06-08,2025-06-14,2025-06-22,0.34684,0.35096,0.35793,0.34495,0.36954
sevilletashrub,GR,1000,rising,gcc_50,2015-06-21,2015-06-25,2015-07-02,2015-05-17,2015-06-24,2015-07-01,2015-06-22,2015-06-26,2015-07-03,0.34933,0.35328,0.35946,0.34753,0.37128
sevilletashrub,GR,1000,rising,gcc_50,2016-08-08,2016-08-12,2016-08-21,2016-08-07,2016-08-11,2016-08-20,2016-08-09,2016-08-13,2016-08-23,0.35091,0.35345,0.35907,0.34899,0.369
sevilletashrub,GR,1000,rising,gcc_50,2021-07-07,2021-07-12,2021-07-18,2021-07-06,2021-07-11,2021-07-17,2021-07-09,2021-07-13,2021-07-19,0.34654,0.35158,0.36046,0.34347,0.37644
sevilletashrub,GR,1000,rising,gcc_50,2023-08-14,2023-08-17,2023-08-24,2023-08-13,2023-08-16,2023-08-23,2023-08-15,2023-08-19,2023-08-25,0.34929,0.35279,0.36138,0.34691,0.37433
sevilletashrub,GR,1000,rising,gcc_50,2025-06-07,2025-06-12,2025-06-21,2025-06-05,2025-06-11,2025-06-20,2025-06-09,2025-06-14,2025-06-22,0.3468,0.35021,0.35686,0.34443,0.36848
sevilletashrub,GR,1000,rising,gcc_mean,2015-06-20,2015-06-24,2015-07-02,2015-05-17,2015-06-23,2015-06-30,2015-06-22,2015-06-26,2015-07-03,0.34873,0.35237,0.35948,0.34651,0.37114
sevilletashrub,GR,1000,rising,gcc_mean,2016-08-07,2016-08-12,2016-08-21,2016-08-06,2016-08-11,2016-08-20,2016-08-08,2016-08-13,2016-08-23,0.35063,0.35365,0.35923,0.34899,0.36913
sevilletashrub,GR,1000,rising,gcc_mean,2021-07-07,2021-07-11,2021-07-18,2021-07-06,2021-07-10,2021-07-17,2021-07-09,2021-07-13,2021-07-19,0.34693,0.35083,0.36086,0.34393,0.37625
sevilletashrub,GR,1000,rising,gcc_mean,2023-08-14,2023-08-17,2023-08-24,2023-08-13,2023-08-16,2023-08-23,2023-08-15,2023-08-19,2023-08-25,0.34961,0.35303,0.36168,0.34689,0.37445
sevilletashrub,GR,1000,rising,gcc_mean,2025-06-06,2025-06-12,2025-06-21,2025-06-05,2025-06-11,2025-06-20,2025-06-08,2025-06-14,2025-06-22,0.34643,0.35035,0.35689,0.34454,0.36846
sevilletashrub,GR,1000,falling,gcc_90,2024-09-19,2024-09-06,2024-08-25,2024-09-23,2024-09-07,2024-08-27,2024-09-15,2024-09-04,2024-08-24,0.35098,0.35484,0.36304,0.34813,0.37674
sevilletashrub,GR,1000,falling,gcc_90,2022-10-23,2022-09-30,2022-09-17,2022-10-26,2022-10-02,2022-09-20,2022-10-18,2022-09-27,2022-09-16,0.34946,0.35276,0.35892,0.34743,0.36931
sevilletashrub,GR,1000,falling,gcc_90,2021-10-13,2021-09-25,2021-09-13,2021-10-17,2021-10-05,2021-09-15,2021-10-10,2021-09-20,2021-09-12,0.34836,0.35329,0.36194,0.34544,0.37709
sevilletashrub,GR,1000,falling,gcc_90,2018-10-17,2018-10-10,2018-09-30,2018-12-02,2018-10-11,2018-10-02,2018-10-16,2018-10-09,2018-09-29,0.34933,0.35258,0.35972,0.34699,0.37201
sevilletashrub,GR,1000,falling,gcc_90,2015-09-25,2015-09-19,2015-09-12,2015-09-27,2015-09-20,2015-09-13,2015-09-22,2015-09-17,2015-09-11,0.3523,0.35533,0.36253,0.3502,0.3729
sevilletashrub,GR,1000,falling,gcc_75,2024-09-19,2024-09-05,2024-08-24,2024-09-22,2024-09-06,2024-08-26,2024-09-15,2024-09-03,2024-08-23,0.35035,0.35431,0.36205,0.3477,0.37544
sevilletashrub,GR,1000,falling,gcc_75,2022-10-23,2022-09-30,2022-09-18,2022-10-25,2022-10-02,2022-09-20,2022-10-18,2022-09-27,2022-09-17,0.34891,0.35206,0.35746,0.34705,0.36782
sevilletashrub,GR,1000,falling,gcc_75,2021-10-14,2021-09-24,2021-09-13,2021-10-19,2021-09-27,2021-09-15,2021-10-10,2021-09-21,2021-09-12,0.34757,0.35233,0.36111,0.34476,0.37545
sevilletashrub,GR,1000,falling,gcc_75,2018-10-16,2018-10-09,2018-09-30,2018-12-02,2018-10-10,2018-10-02,2018-10-15,2018-10-08,2018-09-28,0.34878,0.35264,0.35885,0.34654,0.37096
sevilletashrub,GR,1000,falling,gcc_75,2015-09-25,2015-09-19,2015-09-13,2015-09-27,2015-09-20,2015-09-14,2015-09-22,2015-09-17,2015-09-12,0.35172,0.35473,0.3607,0.34979,0.37128
