#
# Transition date estimate for vincennes
#
# Site: vincennes
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2024
# Year max: 2025
# Final Processing Date: 2025-10-02
# Final Processing Time: 00:17:26
# Spline RMSE gcc_mean: 0.00249
# Spline RMSE gcc_50: 0.00211
# Spline RMSE gcc_75: 0.00146
# Spline RMSE gcc_90: 0.00159
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
vincennes,DB,1000,rising,gcc_90,2025-04-01,2025-04-04,2025-04-11,2025-03-30,2025-04-03,2025-04-09,2025-04-02,2025-04-06,2025-04-12,0.34119,0.34657,0.36151,0.33684,0.38101
vincennes,DB,1000,rising,gcc_75,2025-03-31,2025-04-04,2025-04-11,2025-03-30,2025-04-03,2025-04-09,2025-04-02,2025-04-06,2025-04-12,0.33918,0.34565,0.35982,0.33608,0.37806
vincennes,DB,1000,rising,gcc_50,2025-03-31,2025-04-04,2025-04-11,2025-03-21,2025-04-03,2025-04-09,2025-04-03,2025-04-06,2025-04-12,0.3383,0.34451,0.35753,0.33525,0.37447
vincennes,DB,1000,rising,gcc_mean,2025-04-01,2025-04-05,2025-04-11,2025-03-20,2025-04-03,2025-04-09,2025-04-03,2025-04-08,2025-04-12,0.33768,0.3438,0.35452,0.33449,0.37184
vincennes,DB,1000,falling,gcc_90,2024-11-24,2024-11-14,2024-11-08,2024-11-25,2024-11-15,2024-11-10,2024-11-17,2024-11-13,2024-11-07,0.33868,0.34584,0.36018,0.33419,0.38487
vincennes,DB,1000,falling,gcc_75,2024-11-23,2024-11-14,2024-11-08,2024-11-25,2024-11-15,2024-11-10,2024-11-17,2024-11-13,2024-11-07,0.33843,0.34526,0.35956,0.33371,0.3826
vincennes,DB,1000,falling,gcc_50,2024-11-25,2024-11-16,2024-11-11,2024-11-26,2024-11-17,2024-11-12,2024-11-18,2024-11-14,2024-11-10,0.33632,0.34094,0.35263,0.33313,0.37119
vincennes,DB,1000,falling,gcc_mean,2024-11-17,2024-11-14,2024-11-10,2024-11-19,2024-11-15,2024-11-12,2024-11-14,2024-11-12,2024-11-09,0.33986,0.34486,0.35515,0.3375,0.36986
