#
# Transition date estimate for vincennes
#
# Site: vincennes
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2024
# Year max: 2025
# Final Processing Date: 2025-10-02
# Final Processing Time: 00:17:21
# Spline RMSE gcc_mean: 0.00258
# Spline RMSE gcc_50: 0.00232
# Spline RMSE gcc_75: 0.00168
# Spline RMSE gcc_90: 0.0017
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
vincennes,DB,1000,rising,gcc_90,2025-03-28,2025-04-03,2025-04-09,2025-03-24,2025-04-02,2025-04-07,2025-04-01,2025-04-05,2025-04-11,0.34094,0.34591,0.35835,0.33709,0.37956
vincennes,DB,1000,rising,gcc_75,2025-03-26,2025-04-01,2025-04-10,2025-03-25,2025-03-31,2025-04-07,2025-04-01,2025-04-07,2025-04-11,0.33852,0.34212,0.35859,0.33611,0.37621
vincennes,DB,1000,rising,gcc_50,2025-03-28,2025-04-03,2025-04-09,2025-03-24,2025-04-01,2025-04-07,2025-04-01,2025-04-05,2025-04-11,0.33787,0.34313,0.35417,0.33496,0.3714
vincennes,DB,1000,rising,gcc_mean,2025-03-30,2025-04-03,2025-04-09,2025-03-24,2025-04-01,2025-04-07,2025-04-03,2025-04-07,2025-04-11,0.33813,0.34146,0.35136,0.33486,0.36785
vincennes,DB,1000,falling,gcc_90,2024-11-19,2024-11-14,2024-11-06,2024-11-20,2024-11-15,2024-11-08,2024-11-17,2024-11-12,2024-11-04,0.34257,0.34947,0.36206,0.33861,0.38542
vincennes,DB,1000,falling,gcc_75,2024-11-19,2024-11-14,2024-11-06,2024-11-21,2024-11-15,2024-11-08,2024-11-17,2024-11-12,2024-11-05,0.34163,0.34853,0.36138,0.33737,0.3833
vincennes,DB,1000,falling,gcc_50,2024-11-21,2024-11-16,2024-11-07,2024-11-23,2024-11-17,2024-11-10,2024-11-19,2024-11-14,2024-11-06,0.33802,0.34407,0.35711,0.33356,0.37892
vincennes,DB,1000,falling,gcc_mean,2024-11-22,2024-11-17,2024-11-09,2024-11-24,2024-11-18,2024-11-11,2024-11-19,2024-11-14,2024-11-07,0.33663,0.34235,0.35452,0.33293,0.37529
