#
# 3-day NDVI summary timeseries for tworfaa
#
# Site: tworfaa
# Veg Type: AG
# ROI ID Number: 1000
# Lat: 31.4777
# Lon: -96.8882
# Elev: 167
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2025-10-01
# Creation Time: 12:43:57
# Update Date: 2025-10-01
# Update Time: 12:43:59
#
date,year,doy,image_count,midday_rgb_filename,midday_ir_filename,midday_ndvi,gcc_90,ndvi_mean,ndvi_std,ndvi_50,ndvi_75,ndvi_90,max_solar_elev,snow_flag,outlierflag_ndvi_mean,outlierflag_ndvi_50,outlierflag_ndvi_75,outlierflag_ndvi_90
2018-04-20,2018,110,50,tworfaa_2018_04_20_115806.jpg,tworfaa_IR_2018_04_20_115806.jpg,-0.19390,0.37682,-0.19297,0.10380,-0.18800,-0.13815,-0.11902,70.54960,NA,NA,NA,NA,NA
2018-04-23,2018,113,69,tworfaa_2018_04_23_115805.jpg,tworfaa_IR_2018_04_23_115805.jpg,-0.20060,0.37236,-0.17608,0.11647,-0.17180,-0.11940,-0.07630,71.54440,NA,NA,NA,NA,NA
2018-04-26,2018,116,69,tworfaa_2018_04_26_115806.jpg,tworfaa_IR_2018_04_26_115806.jpg,-0.19100,0.37844,-0.13937,0.08986,-0.13560,-0.08770,-0.04836,72.50590,NA,NA,NA,NA,NA
2018-04-29,2018,119,69,tworfaa_2018_04_29_115805.jpg,tworfaa_IR_2018_04_29_115805.jpg,0.07260,0.39414,-0.04613,0.12206,-0.03050,0.00640,0.04198,73.43250,NA,NA,NA,NA,NA
2018-05-02,2018,122,69,tworfaa_2018_05_02_115805.jpg,tworfaa_IR_2018_05_02_115805.jpg,0.35750,0.40572,0.02569,0.08494,0.02930,0.05050,0.08832,74.32170,NA,NA,NA,NA,NA
2018-05-05,2018,125,69,tworfaa_2018_05_05_115807.jpg,tworfaa_IR_2018_05_05_115807.jpg,0.03160,0.41124,0.04023,0.11414,0.04270,0.07840,0.12484,75.17220,NA,NA,NA,NA,NA
2018-05-08,2018,128,69,tworfaa_2018_05_08_115805.jpg,tworfaa_IR_2018_05_08_115805.jpg,0.12810,0.41774,0.12718,0.05989,0.12520,0.16980,0.20996,75.98170,NA,NA,NA,NA,NA
2018-05-11,2018,131,72,tworfaa_2018_05_11_115806.jpg,tworfaa_IR_2018_05_11_115806.jpg,0.54170,0.42759,0.20416,0.13290,0.20320,0.24593,0.32734,76.74920,NA,NA,NA,NA,NA
2018-05-14,2018,134,72,tworfaa_2018_05_14_115805.jpg,tworfaa_IR_2018_05_14_115805.jpg,-0.30490,0.43666,0.20575,0.11846,0.20865,0.25262,0.31924,77.47150,NA,NA,NA,NA,NA
2018-05-17,2018,137,72,tworfaa_2018_05_17_115806.jpg,tworfaa_IR_2018_05_17_115806.jpg,0.24300,0.43948,0.24463,0.06371,0.24225,0.26977,0.29441,78.14690,NA,NA,NA,NA,NA
