#
# Transition date estimate for aafcottawacfiaf14n
#
# Site: aafcottawacfiaf14n
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2022
# Year max: 2025
# Final Processing Date: 2025-10-02
# Final Processing Time: 00:01:25
# Spline RMSE gcc_mean: 0.00307
# Spline RMSE gcc_50: 0.00321
# Spline RMSE gcc_75: 0.00329
# Spline RMSE gcc_90: 0.00336
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
aafcottawacfiaf14n,AG,1000,rising,gcc_90,2022-05-22,2022-05-25,2022-05-30,2022-05-21,2022-05-24,2022-05-29,2022-05-23,2022-05-26,2022-05-31,0.32944,0.35304,0.39527,0.31834,0.46592
aafcottawacfiaf14n,AG,1000,rising,gcc_90,2023-06-12,2023-06-17,2023-06-24,2023-06-08,2023-06-16,2023-06-22,2023-06-15,2023-06-19,2023-06-25,0.32993,0.34131,0.37013,0.3214,0.41437
aafcottawacfiaf14n,AG,1000,rising,gcc_90,2024-05-17,2024-05-22,2024-05-26,2024-05-16,2024-05-21,2024-05-25,2024-05-19,2024-05-23,2024-05-27,0.32856,0.34413,0.36828,0.3202,0.416
aafcottawacfiaf14n,AG,1000,rising,gcc_90,2025-06-14,2025-06-18,2025-06-23,2025-06-13,2025-06-17,2025-06-21,2025-06-16,2025-06-20,2025-06-24,0.3283,0.3402,0.38224,0.3196,0.42254
aafcottawacfiaf14n,AG,1000,rising,gcc_75,2022-05-22,2022-05-25,2022-05-30,2022-05-21,2022-05-24,2022-05-29,2022-05-24,2022-05-26,2022-05-31,0.32787,0.34967,0.3912,0.31716,0.46509
aafcottawacfiaf14n,AG,1000,rising,gcc_75,2023-06-12,2023-06-18,2023-06-24,2023-06-07,2023-06-17,2023-06-23,2023-06-15,2023-06-20,2023-06-25,0.32911,0.34216,0.36692,0.32056,0.41147
aafcottawacfiaf14n,AG,1000,rising,gcc_75,2024-05-17,2024-05-21,2024-05-26,2024-05-16,2024-05-20,2024-05-25,2024-05-19,2024-05-23,2024-05-27,0.3277,0.33901,0.36596,0.31936,0.41253
aafcottawacfiaf14n,AG,1000,rising,gcc_75,2025-06-14,2025-06-19,2025-06-23,2025-06-13,2025-06-18,2025-06-22,2025-06-16,2025-06-20,2025-06-24,0.32749,0.34361,0.37512,0.31883,0.41975
aafcottawacfiaf14n,AG,1000,rising,gcc_50,2022-05-22,2022-05-25,2022-05-31,2022-05-21,2022-05-24,2022-05-29,2022-05-24,2022-05-26,2022-06-01,0.32601,0.34702,0.3942,0.31583,0.4588
aafcottawacfiaf14n,AG,1000,rising,gcc_50,2023-06-11,2023-06-18,2023-06-24,2023-06-07,2023-06-17,2023-06-23,2023-06-14,2023-06-20,2023-06-25,0.32731,0.33992,0.36406,0.31968,0.40765
