#
# Transition date estimate for lacclair
#
# Site: lacclair
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2025
# Final Processing Date: 2025-10-02
# Final Processing Time: 00:07:16
# Spline RMSE gcc_mean: 0.00325
# Spline RMSE gcc_50: 0.00393
# Spline RMSE gcc_75: 0.00346
# Spline RMSE gcc_90: 0.00314
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
lacclair,EN,1000,rising,gcc_90,2015-04-16,2015-04-24,2015-05-06,2015-04-10,2015-04-22,2015-05-03,2015-04-21,2015-04-28,2015-05-08,0.32247,0.32753,0.33853,0.31874,0.35689
lacclair,EN,1000,rising,gcc_90,2016-04-21,2016-04-30,2016-05-11,2016-04-16,2016-04-28,2016-05-09,2016-04-25,2016-05-03,2016-05-13,0.32273,0.32874,0.34019,0.31847,0.36159
lacclair,EN,1000,rising,gcc_90,2017-04-20,2017-04-29,2017-05-09,2017-04-16,2017-04-27,2017-05-07,2017-04-25,2017-05-02,2017-05-11,0.32565,0.33197,0.3432,0.32175,0.36357
lacclair,EN,1000,rising,gcc_90,2018-04-23,2018-04-30,2018-05-10,2018-04-20,2018-04-28,2018-05-07,2018-04-27,2018-05-03,2018-05-12,0.32596,0.33173,0.34207,0.32289,0.36007
lacclair,EN,1000,rising,gcc_90,2019-04-27,2019-05-08,2019-05-22,2019-04-21,2019-05-05,2019-05-18,2019-05-03,2019-05-12,2019-05-24,0.32599,0.33082,0.34095,0.32258,0.35804
lacclair,EN,1000,rising,gcc_90,2020-04-26,2020-05-06,2020-05-15,2020-04-21,2020-05-03,2020-05-13,2020-05-01,2020-05-09,2020-05-17,0.32478,0.33066,0.34094,0.32139,0.35974
lacclair,EN,1000,rising,gcc_90,2021-04-07,2021-04-17,2021-05-04,2021-04-03,2021-04-13,2021-04-30,2021-04-11,2021-04-22,2021-05-07,0.3283,0.33353,0.34297,0.3249,0.36049
lacclair,EN,1000,rising,gcc_90,2022-04-21,2022-04-29,2022-05-09,2022-04-17,2022-04-27,2022-05-07,2022-04-25,2022-05-02,2022-05-11,0.32486,0.33127,0.3422,0.32119,0.36279
lacclair,EN,1000,rising,gcc_90,2023-04-15,2023-04-21,2023-05-01,2023-04-12,2023-04-19,2023-04-28,2023-04-18,2023-04-25,2023-05-04,0.32593,0.33085,0.34044,0.32253,0.35795
lacclair,EN,1000,rising,gcc_90,2024-04-04,2024-04-15,2024-05-01,2024-03-29,2024-04-12,2024-04-27,2024-04-09,2024-04-19,2024-05-03,0.32757,0.33316,0.34427,0.32359,0.36376
