#
# 3-day NDVI summary timeseries for aafcottawacfiaf14n
#
# Site: aafcottawacfiaf14n
# Veg Type: AG
# ROI ID Number: 1000
# Lat: 45.2929
# Lon: -75.767
# Elev: 90
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2025-10-01
# Creation Time: 10:01:40
# Update Date: 2025-10-01
# Update Time: 10:01:41
#
date,year,doy,image_count,midday_rgb_filename,midday_ir_filename,midday_ndvi,gcc_90,ndvi_mean,ndvi_std,ndvi_50,ndvi_75,ndvi_90,max_solar_elev,snow_flag,outlierflag_ndvi_mean,outlierflag_ndvi_50,outlierflag_ndvi_75,outlierflag_ndvi_90
2021-09-02,2021,245,11,aafcottawacfiaf14n_2021_09_03_121005.jpg,aafcottawacfiaf14n_IR_2021_09_03_121005.jpg,0.07020,0.36050,-0.07480,0.10356,-0.05150,-0.02435,-0.01350,51.96350,NA,NA,NA,NA,NA
2021-09-05,2021,248,66,aafcottawacfiaf14n_2021_09_05_121005.jpg,aafcottawacfiaf14n_IR_2021_09_05_121005.jpg,-0.06800,0.36115,-0.07566,0.14213,-0.07260,-0.00767,0.05115,51.59150,NA,NA,NA,NA,NA
2021-09-08,2021,251,66,aafcottawacfiaf14n_2021_09_08_121006.jpg,aafcottawacfiaf14n_IR_2021_09_08_121006.jpg,-0.07930,0.35805,-0.08394,0.12912,-0.09095,-0.04045,0.03220,50.46350,NA,NA,NA,NA,NA
2021-09-11,2021,254,65,aafcottawacfiaf14n_2021_09_11_121005.jpg,aafcottawacfiaf14n_IR_2021_09_11_121005.jpg,-0.14840,0.35042,-0.15137,0.18045,-0.14820,-0.09320,-0.00336,49.15940,NA,NA,NA,NA,NA
2021-09-14,2021,257,63,aafcottawacfiaf14n_2021_09_14_121005.jpg,aafcottawacfiaf14n_IR_2021_09_14_121005.jpg,-0.14830,0.34578,-0.18202,0.09697,-0.19240,-0.13575,-0.08996,48.16360,NA,NA,NA,NA,NA
2021-09-17,2021,260,61,aafcottawacfiaf14n_2021_09_17_121006.jpg,aafcottawacfiaf14n_IR_2021_09_17_121006.jpg,-0.25440,0.33870,-0.23681,0.15857,-0.22250,-0.16040,-0.10550,46.99700,NA,NA,NA,NA,NA
2021-09-20,2021,263,60,aafcottawacfiaf14n_2021_09_20_121005.jpg,aafcottawacfiaf14n_IR_2021_09_20_121005.jpg,-0.33790,0.33021,-0.27190,0.06535,-0.27065,-0.22225,-0.18230,45.82290,NA,NA,NA,NA,NA
2021-09-23,2021,266,60,aafcottawacfiaf14n_2021_09_23_121005.jpg,aafcottawacfiaf14n_IR_2021_09_23_121005.jpg,-0.37410,0.33312,-0.29744,0.08262,-0.29920,-0.25798,-0.22917,44.64390,NA,NA,NA,NA,NA
2021-09-26,2021,269,60,aafcottawacfiaf14n_2021_09_26_121006.jpg,aafcottawacfiaf14n_IR_2021_09_26_121006.jpg,-0.24930,0.32990,-0.33962,0.21139,-0.31115,-0.27335,-0.23438,43.48700,NA,NA,NA,NA,NA
2021-09-29,2021,272,60,aafcottawacfiaf14n_2021_09_29_121005.jpg,aafcottawacfiaf14n_IR_2021_09_29_121005.jpg,-0.35100,0.32470,-0.32819,0.21816,-0.32960,-0.24243,-0.17798,42.33690,NA,NA,NA,NA,NA
2021-10-02,2021,275,58,aafcottawacfiaf14n_2021_10_02_121006.jpg,aafcottawacfiaf14n_IR_2021_10_02_121006.jpg,-0.43330,0.32516,-0.33659,0.09263,-0.34685,-0.30743,-0.27062,41.18800,NA,NA,NA,NA,NA
2021-10-05,2021,278,56,aafcottawacfiaf14n_2021_10_05_121005.jpg,aafcottawacfiaf14n_IR_2021_10_05_121005.jpg,-0.35250,0.32475,-0.38821,0.14596,-0.36835,-0.34210,-0.29485,40.04240,NA,NA,NA,NA,NA
2021-10-08,2021,281,54,aafcottawacfiaf14n_2021_10_08_121005.jpg,aafcottawacfiaf14n_IR_2021_10_08_121005.jpg,-0.40790,0.32370,-0.37706,0.07108,-0.38215,-0.35203,-0.31676,38.90300,NA,NA,NA,NA,NA
2021-10-11,2021,284,53,aafcottawacfiaf14n_2021_10_11_121005.jpg,aafcottawacfiaf14n_IR_2021_10_11_121005.jpg,-0.41280,0.32400,-0.37860,0.04908,-0.39520,-0.36040,-0.32534,37.77340,NA,NA,NA,NA,NA
2021-10-14,2021,287,54,aafcottawacfiaf14n_2021_10_14_121006.jpg,aafcottawacfiaf14n_IR_2021_10_14_121006.jpg,-0.36920,0.32280,-0.41434,0.04464,-0.41070,-0.38922,-0.37319,36.65640,NA,NA,NA,NA,NA
2021-10-17,2021,290,52,aafcottawacfiaf14n_2021_10_17_121006.jpg,aafcottawacfiaf14n_IR_2021_10_17_121006.jpg,-0.43670,0.32225,-0.42916,0.10075,-0.40720,-0.38958,-0.36284,35.55510,NA,NA,NA,NA,NA
2021-10-20,2021,293,51,aafcottawacfiaf14n_2021_10_20_121006.jpg,aafcottawacfiaf14n_IR_2021_10_20_121006.jpg,-0.44470,0.32260,-0.42817,0.15856,-0.40420,-0.38330,-0.35420,34.47230,NA,NA,NA,NA,NA
2021-10-23,2021,296,51,aafcottawacfiaf14n_2021_10_23_121006.jpg,aafcottawacfiaf14n_IR_2021_10_23_121006.jpg,-0.36680,0.32140,-0.36785,0.12565,-0.37540,-0.34725,-0.27000,33.41140,NA,NA,NA,NA,NA
2021-10-26,2021,299,49,aafcottawacfiaf14n_2021_10_26_121005.jpg,aafcottawacfiaf14n_IR_2021_10_26_121005.jpg,-0.40740,0.32072,-0.38664,0.03638,-0.39200,-0.36250,-0.34252,32.37470,NA,NA,NA,NA,NA
2021-10-29,2021,302,48,aafcottawacfiaf14n_2021_10_29_121005.jpg,aafcottawacfiaf14n_IR_2021_10_29_121005.jpg,-0.41400,0.32163,-0.37566,0.05700,-0.38380,-0.32650,-0.30292,31.36530,NA,NA,NA,NA,NA
2021-11-01,2021,305,48,aafcottawacfiaf14n_2021_11_01_121006.jpg,aafcottawacfiaf14n_IR_2021_11_01_121006.jpg,-0.36860,0.32200,-0.42238,0.14549,-0.39165,-0.36718,-0.32792,30.38630,NA,NA,NA,NA,NA
2021-11-04,2021,308,45,aafcottawacfiaf14n_2021_11_04_121006.jpg,aafcottawacfiaf14n_IR_2021_11_04_121006.jpg,-0.40640,0.32250,-0.36257,0.14510,-0.36640,-0.32710,-0.26410,29.44100,NA,NA,NA,NA,NA
2021-11-07,2021,311,45,aafcottawacfiaf14n_2021_11_07_121005.jpg,aafcottawacfiaf14n_IR_2021_11_07_121005.jpg,-0.40160,0.32240,-0.36167,0.07394,-0.37210,-0.31880,-0.29072,28.53230,NA,NA,NA,NA,NA
2021-11-10,2021,314,45,aafcottawacfiaf14n_2021_11_10_121005.jpg,aafcottawacfiaf14n_IR_2021_11_10_121005.jpg,-0.37680,0.32206,-0.35968,0.06045,-0.36900,-0.31990,-0.27502,27.66360,NA,NA,NA,NA,NA
2021-11-13,2021,317,43,aafcottawacfiaf14n_2021_11_13_121006.jpg,aafcottawacfiaf14n_IR_2021_11_13_121006.jpg,-0.39800,0.31534,-0.35614,0.04599,-0.36170,-0.32535,-0.31310,26.83790,NA,NA,NA,NA,NA
