#
# Transition date estimate for uiefmiscanthus2
#
# Site: uiefmiscanthus2
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2019
# Year max: 2025
# Final Processing Date: 2025-10-02
# Final Processing Time: 00:16:44
# Spline RMSE gcc_mean: 0.00414
# Spline RMSE gcc_50: 0.00455
# Spline RMSE gcc_75: 0.00448
# Spline RMSE gcc_90: 0.00424
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uiefmiscanthus2,AG,1000,rising,gcc_90,2019-05-25,2019-05-31,2019-06-09,2019-05-23,2019-05-30,2019-06-07,2019-05-27,2019-06-03,2019-06-10,0.33342,0.34809,0.37973,0.32263,0.43386
uiefmiscanthus2,AG,1000,rising,gcc_90,2020-05-18,2020-05-24,2020-05-31,2020-05-16,2020-05-23,2020-05-30,2020-05-21,2020-05-26,2020-06-01,0.33176,0.34793,0.37799,0.32267,0.43201
uiefmiscanthus2,AG,1000,rising,gcc_90,2021-05-09,2021-05-15,2021-05-20,2021-03-09,2021-03-09,2021-03-09,2021-06-07,2021-06-07,2021-06-07,0.33115,0.34524,0.38238,0.32022,0.43896
uiefmiscanthus2,AG,1000,rising,gcc_90,2022-05-08,2022-05-14,2022-05-21,2022-05-06,2022-05-12,2022-05-19,2022-05-10,2022-05-16,2022-05-22,0.32778,0.34518,0.3774,0.31708,0.43008
uiefmiscanthus2,AG,1000,rising,gcc_90,2023-05-09,2023-05-16,2023-05-24,2023-05-07,2023-05-14,2023-05-22,2023-05-12,2023-05-18,2023-05-25,0.32657,0.3437,0.37422,0.31659,0.42738
uiefmiscanthus2,AG,1000,rising,gcc_90,2024-05-03,2024-05-09,2024-05-17,2024-05-01,2024-05-08,2024-05-15,2024-05-05,2024-05-11,2024-05-18,0.32852,0.345,0.37859,0.31812,0.43107
uiefmiscanthus2,AG,1000,rising,gcc_90,2025-05-06,2025-05-12,2025-05-20,2025-05-04,2025-05-11,2025-05-18,2025-05-08,2025-05-14,2025-05-21,0.32828,0.34731,0.3823,0.31532,0.44662
uiefmiscanthus2,AG,1000,rising,gcc_75,2019-05-25,2019-06-01,2019-06-09,2019-05-23,2019-05-31,2019-06-07,2019-05-28,2019-06-03,2019-06-11,0.33149,0.34781,0.37604,0.3218,0.42954
uiefmiscanthus2,AG,1000,rising,gcc_75,2020-05-19,2020-05-24,2020-06-01,2020-05-16,2020-05-23,2020-05-30,2020-05-21,2020-05-26,2020-06-02,0.33108,0.34387,0.37721,0.32062,0.42627
uiefmiscanthus2,AG,1000,rising,gcc_75,2021-05-09,2021-05-15,2021-05-21,2021-03-09,2021-03-09,2021-03-09,2021-06-07,2021-06-07,2021-06-07,0.32912,0.34183,0.37426,0.3187,0.42474
uiefmiscanthus2,AG,1000,rising,gcc_75,2022-05-08,2022-05-14,2022-05-21,2022-05-06,2022-05-13,2022-05-19,2022-05-10,2022-05-16,2022-05-22,0.32585,0.34119,0.37228,0.31531,0.42591
uiefmiscanthus2,AG,1000,rising,gcc_75,2023-05-09,2023-05-16,2023-05-25,2023-05-06,2023-05-15,2023-05-23,2023-05-12,2023-05-18,2023-05-26,0.32473,0.33986,0.37181,0.31406,0.42486
uiefmiscanthus2,AG,1000,rising,gcc_75,2024-05-03,2024-05-09,2024-05-17,2024-05-01,2024-05-08,2024-05-15,2024-05-05,2024-05-11,2024-05-18,0.32663,0.34177,0.37417,0.31631,0.42729
uiefmiscanthus2,AG,1000,rising,gcc_75,2025-05-06,2025-05-12,2025-05-20,2025-05-04,2025-05-11,2025-05-18,2025-05-08,2025-05-14,2025-05-21,0.32596,0.3438,0.37831,0.3139,0.43981
uiefmiscanthus2,AG,1000,rising,gcc_50,2019-05-24,2019-06-01,2019-06-09,2019-05-22,2019-05-30,2019-06-07,2019-05-27,2019-06-03,2019-06-10,0.32828,0.34446,0.37164,0.31907,0.42294
uiefmiscanthus2,AG,1000,rising,gcc_50,2020-05-17,2020-05-24,2020-06-01,2020-05-14,2020-05-23,2020-05-30,2020-05-21,2020-05-26,2020-06-02,0.32716,0.34096,0.37094,0.31803,0.42068
uiefmiscanthus2,AG,1000,rising,gcc_50,2021-05-08,2021-05-15,2021-05-21,2021-03-09,2021-03-09,2021-03-09,2021-06-07,2021-06-07,2021-06-07,0.32541,0.33867,0.37015,0.31604,0.41732
uiefmiscanthus2,AG,1000,rising,gcc_50,2022-05-09,2022-05-15,2022-05-22,2022-05-07,2022-05-14,2022-05-20,2022-05-11,2022-05-17,2022-05-23,0.32502,0.34025,0.37069,0.31545,0.42055
uiefmiscanthus2,AG,1000,rising,gcc_50,2023-05-08,2023-05-16,2023-05-26,2023-05-04,2023-05-15,2023-05-24,2023-05-11,2023-05-19,2023-05-27,0.32182,0.33681,0.37008,0.31132,0.42202
uiefmiscanthus2,AG,1000,rising,gcc_50,2024-05-03,2024-05-10,2024-05-18,2024-05-01,2024-05-09,2024-05-16,2024-05-06,2024-05-12,2024-05-19,0.32478,0.34045,0.37199,0.31471,0.42443
uiefmiscanthus2,AG,1000,rising,gcc_50,2025-05-06,2025-05-12,2025-05-20,2025-05-04,2025-05-11,2025-05-18,2025-05-08,2025-05-14,2025-05-21,0.32328,0.34011,0.37357,0.31129,0.43259
uiefmiscanthus2,AG,1000,rising,gcc_mean,2019-05-24,2019-06-01,2019-06-09,2019-05-22,2019-05-30,2019-06-07,2019-05-27,2019-06-03,2019-06-10,0.32827,0.34463,0.37163,0.31915,0.42281
uiefmiscanthus2,AG,1000,rising,gcc_mean,2020-05-17,2020-05-24,2020-06-01,2020-05-15,2020-05-23,2020-05-30,2020-05-20,2020-05-26,2020-06-02,0.32666,0.34108,0.37195,0.31731,0.42098
uiefmiscanthus2,AG,1000,rising,gcc_mean,2021-05-08,2021-05-15,2021-05-21,2021-03-09,2021-03-09,2021-03-09,2021-06-07,2021-06-07,2021-06-07,0.32529,0.33907,0.37332,0.31564,0.41951
uiefmiscanthus2,AG,1000,rising,gcc_mean,2022-05-09,2022-05-15,2022-05-22,2022-05-07,2022-05-14,2022-05-20,2022-05-11,2022-05-16,2022-05-23,0.32514,0.34101,0.37175,0.31521,0.42038
uiefmiscanthus2,AG,1000,rising,gcc_mean,2023-05-08,2023-05-16,2023-05-25,2023-05-05,2023-05-15,2023-05-24,2023-05-11,2023-05-18,2023-05-26,0.32164,0.33732,0.36712,0.31172,0.42208
