#
# Transition date estimate for uiefmiscanthus2
#
# Site: uiefmiscanthus2
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2019
# Year max: 2025
# Final Processing Date: 2025-10-02
# Final Processing Time: 00:17:15
# Spline RMSE gcc_mean: 0.00448
# Spline RMSE gcc_50: 0.00477
# Spline RMSE gcc_75: 0.00484
# Spline RMSE gcc_90: 0.00514
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uiefmiscanthus2,AG,1000,rising,gcc_mean,2023-05-09,2023-05-16,2023-05-25,2023-05-07,2023-05-15,2023-05-24,2023-05-12,2023-05-18,2023-05-26,0.32152,0.3377,0.36665,0.31184,0.42076
uiefmiscanthus2,AG,1000,rising,gcc_mean,2024-05-03,2024-05-10,2024-05-17,2024-05-01,2024-05-09,2024-05-16,2024-05-06,2024-05-12,2024-05-18,0.32405,0.3404,0.37007,0.31411,0.424
uiefmiscanthus2,AG,1000,rising,gcc_mean,2025-05-07,2025-05-12,2025-05-20,2025-05-05,2025-05-11,2025-05-18,2025-05-09,2025-05-14,2025-05-21,0.32287,0.33943,0.37653,0.31105,0.43512
uiefmiscanthus2,AG,1000,falling,gcc_90,2024-10-22,2024-10-20,2024-10-17,2024-10-23,2024-10-21,2024-10-18,2024-10-21,2024-10-19,2024-10-16,0.31881,0.33999,0.37395,0.31187,0.42872
uiefmiscanthus2,AG,1000,falling,gcc_90,2023-11-03,2023-10-28,2023-10-22,2023-11-05,2023-10-29,2023-10-23,2023-10-31,2023-10-27,2023-10-21,0.32261,0.33979,0.36907,0.31275,0.42535
uiefmiscanthus2,AG,1000,falling,gcc_90,2022-10-21,2022-10-18,2022-10-11,2022-10-22,2022-10-19,2022-10-13,2022-10-19,2022-10-16,2022-10-10,0.32216,0.33567,0.37585,0.31073,0.43119
uiefmiscanthus2,AG,1000,falling,gcc_90,2021-11-12,2021-11-05,2021-10-28,2021-11-16,2021-11-06,2021-10-31,2021-11-08,2021-11-03,2021-10-27,0.32496,0.33697,0.36554,0.31623,0.41107
uiefmiscanthus2,AG,1000,falling,gcc_90,2020-10-12,2020-10-09,2020-10-04,2020-10-13,2020-10-10,2020-10-05,2020-10-10,2020-10-07,2020-10-03,0.33411,0.34831,0.38334,0.32754,0.42996
uiefmiscanthus2,AG,1000,falling,gcc_90,2019-10-23,2019-10-19,2019-10-02,2019-10-24,2019-10-20,2019-10-05,2019-10-21,2019-10-17,2019-10-01,0.3285,0.34737,0.38033,0.32006,0.43399
uiefmiscanthus2,AG,1000,falling,gcc_75,2024-10-22,2024-10-20,2024-10-17,2024-10-23,2024-10-21,2024-10-18,2024-10-21,2024-10-19,2024-10-16,0.31653,0.33766,0.3714,0.30956,0.42579
