year,direction,date_10,date_25,date_50,DOY_10,DOY_25,DOY_50
2023,rising,07-11,07-12,07-14,192,193,195
2023,falling,06-30,06-26,06-20,181,177,171
2025,falling,07-25,07-09,06-14,206,190,165
