#
# Transition date estimate for stevensonoaks001
#
# Site: stevensonoaks001
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2023
# Year max: 2025
# Final Processing Date: 2025-10-02
# Final Processing Time: 00:15:38
# Spline RMSE gcc_mean: 0.00231
# Spline RMSE gcc_50: 0.0047
# Spline RMSE gcc_75: 0.00551
# Spline RMSE gcc_90: 0.00294
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
stevensonoaks001,AG,1000,rising,gcc_90,2024-04-04,2024-04-08,2024-04-22,2023-07-10,2023-07-10,2023-07-10,2025-04-08,2025-04-08,2025-04-08,0.36513,0.37154,0.38196,0.36245,0.40132
stevensonoaks001,AG,1000,rising,gcc_50,2023-07-15,2023-07-16,2023-07-19,2023-07-10,2023-07-10,2023-07-10,2025-04-08,2025-04-08,2025-04-08,0.28627,0.29251,0.33785,0.27793,0.36838
stevensonoaks001,AG,1000,rising,gcc_mean,2023-07-14,2023-07-16,2023-07-19,2023-07-10,2023-07-10,2023-07-10,2025-04-08,2025-04-08,2025-04-08,0.29646,0.30836,0.34568,0.2941,0.36896
stevensonoaks001,AG,1000,falling,gcc_90,2025-07-26,2025-07-18,2025-06-18,2025-07-29,2025-07-21,2025-06-24,2025-07-23,2025-07-09,2025-06-14,0.36906,0.37392,0.38212,0.36623,0.39778
stevensonoaks001,AG,1000,falling,gcc_50,2023-06-24,2023-06-23,2023-05-12,2023-06-25,2023-06-24,2023-06-12,2023-06-22,2023-06-08,2023-05-06,0.33843,0.34339,0.35219,0.34091,0.36344
stevensonoaks001,AG,1000,falling,gcc_mean,2023-06-23,2023-06-21,2023-06-15,2023-06-24,2023-06-22,2023-06-17,2023-06-22,2023-06-19,2023-06-14,0.32646,0.33199,0.3438,0.32304,0.36351
