year,direction,date_10,date_25,date_50,DOY_10,DOY_25,DOY_50
2022,rising,05-22,05-25,05-30,142,145,150
2022,falling,08-08,08-04,07-23,220,216,204
2023,rising,06-11,06-18,06-24,162,169,175
2023,falling,10-17,10-08,09-28,290,281,271
2024,rising,05-17,05-22,05-27,138,143,148
2024,falling,10-03,09-24,09-22,277,268,266
2025,rising,06-14,06-18,06-23,165,169,174
